original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Black Panther,en,FALSE,200000000,/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,https://marvel.com/movies/movie/224/black_panther,284054,tt1825683,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",102.271,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2/13/2018,1346739107,134,Released,Long live the king.,Black Panther,FALSE,7.4,16439,"Action,Adventure,Fantasy,Science Fiction,","Marvel Studios,Walt Disney Pictures,",,"en,ko,sw,xh,","US,",15,"The reviews for _Black Panther_ are all essentially saying the same thing: This is a great movie because it's so different from anything we've seen before, not just in the MCU but in the superhero genre overall, the villain is fantastic and _Black Panther_ is just a new and totally innovative film. Allow me to disagree (almost) entirely. _Black Panther_ is a great film, not because it breaks the mould, but because Marvel Studios has a successful pattern and _Black Panther_ adheres to it completely. Obviously the importance of a lead who is not just black but actually African is not to be understated, we have the least white cast of any superhero movie to date and they absolutely killed it, all very important socio-political stuff, to be sure. But the bones of _Black Panther_, the plot, the script, the events, the turns, all of that, it's a carbon copy of what's worked 17 times before. It works again, don't get me wrong, _Black Panther_ truly was an experience, both important and fantastic, but to say it re-invented the wheel here, is, to me, an outright lie.

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._,Overrated and overhyped. Definitely avoid. Watch on redbox if you must.,This is definitely one of Marvel's best because the story is compelling and the characters are well developed. Black Panther and his friends and family must defend themselves and their homeland of Wakanda from the clutches of Klau (Andy Serkis) and Killmonger (Michael B. Jordan). Not only is the lead actor great as T'Challa/Black Panther, but the supporting cast does a fine job as well, especially the female actors. T'Challa is surrounded by smart, strong women. Marvel seems to break its villain curse with Klau and especially Killmonger. Killmonger is very well developed and even sympathetic at times, despite his villainy. He sort of reminded me of Tom Hiddleston's Loki. The action scenes and special effects are outstanding. Highly recommended if you enjoy comic book movies.,Really good movie. Good story, lots of fun. This is what DC is missing.,It was with some hesitation that I went to see this movie. I was afraid that it would be burdened with too much political and social preaching. Especially knowing how much the movie is praised amongst certain factions in our society today. Sure enough there were indeed some of that nonsense but luckily it was much less than I feared.

I actually found the movie fairly entertaining. It is far from great, certainly very far from the insane hype surrounding it, but pretty okay. It is more or less a standard issue super hero movie on a big budget. Of course this means a fairly mediocre underlying story beefed up with lots of action and special effects.

The story itself is a traditional revenge story with some black power stuff. Nothing to write home about but it works as a vehicle for the action and special effects which is what makes this movie. There are the usual nonsense and plot holes in it of course. Like Shuri claiming that Vibranium (silly name but never mind) is instable at high speeds yet they have no problem making flying ships and other fast moving stuff with it.

The characters are a wee bit disappointing as far as the main characters are concerned. I felt that the main protagonist has little in terms of charisma. Killmonger, the main bad guy, was downright disappointing. To me he looked like the stereotype of a dumb thug and mostly he behaved like one. Bloody hell could they not have found an actor that looked less…well…stupid!

Personally the character I liked best was actually Klaue which was pretty cool, insane but cool. The female warriors, which were both kick-ass and smart, and Shuri is also fairly high up on my approval list.

Special effects! This is of course where this movie shines. Overall I think the special effects were good. The design of the various gadgets, ships etc were very nice. The rampaging rhinos in the final fight really made me laugh. I should have seen that coming. I definitely liked all the sonic effects. Obviously this movie would have been more or less null if the special effects would not have been a success.

On the whole Black Panther is a quite enjoyable special effects and action movie. Nothing more, nothing less. Some social preaching nonsense but less than I feared, hum ho story, lots of action and lots of special effects.,I was really surprised how much I liked this movie.  There was so much going on; immigration concerns; the fight between saving the world and protecting your own country(sound familiar); the fear of an African country’s resources being pillaged; how best to handle the problems black people face worldwide; and many great authentic feeling cultural nods.  All this while not being heavy or preachy.  You can definitely eat popcorn to this.  The villain; Killmonger, is great.  Not great in that he is scary, though he is, but because he is more complex than some shadowy figure you should just trust is a bad guy because of visual effects or dramatic music.  

This movie isn’t just explosions and one-liners in an exotic location.  This is a great movie in general.  It’s always interesting.  There are great relationships between all the characters.  Finally; Wakanda is really a place.  It feels alive and lived in; not just impressive buildings used as a backdrop.  They did a wonderful job of worldbuilding; from the rituals, to the clothing, fancy tech, and scenery.  This movie is definitely worth a watch. 

☆☆☆☆-1/2

I also have to add that; you get to actually see Andy Serkis!  When I saw his name I thought we was going to be some kind of CGI monster.  I’m just happy to see him get actual screen time.,The Black Panther is a fun romp, but it definitely has some issues. First, the good.

The action is fun, the emotions hit home, and the story isn't dirt-poor. 

While the CGI gets ripped on from time to time, I thought it was solid enough for a Marvel movie. The fight scenes were relatively well-choreographed, as well. The ritual combat scenes were exciting and visually appealing. The fights in Korea were also fun to see, and while I'm not a fan of car chase scenes as a whole, I did enjoy this one. It was reminiscent of a James Bond movie. 

In fact, that's another appeal, at least to me. The secret technology base and the fun action scenes were a great callback to James Bond-type movies. I do think the movie would have been complemented by giving T'Challa a similar vice as Bond's, although Marvel probably wouldn't veer down that line for the seemingly morally absolute King of Wakanda.

The story, well, it's a mixed bag. Everything seemed crammed together with major emotional keys being rushed through or somewhat ignored. The concept is fine though. A long lost relative comes to challenge the new king, wins, and shows his colors, becoming something amoral. The king comes back and takes down the usurper, realizing something about themselves/their kingdom in the process. It's tired, but not so tired it damages the movie. 

This is where the issues begin to rise, though. The movie is really a movie and a half or two movies crammed into one. Wakanda has a ton of wonderful mythology, but almost none of it is explained. The movie never really explains how the Wakandans used vibranium was used to make themselves wealthy. It touches on it in some exposition, but there was much more that was just glossed over. 

In addition, W'Kabi became radicalized by Killmonger much too quickly for such a pivotal relationship to flip. Some of the emotional aspects of the movie fell flat because they weren't given enough screen time. 

Despite its flaws, Black Panther is a fun movie that adds to the Marvel Cinematic Universe. It should have been two movies, but I doubt this is the last we'll see of Wakanda.,The character of T'Challa made his debut in Captain America 3: Civil War.

In Black Panther, T'Challa returns to his homeland of Wakanda after the death of his father who has been hiding a secret about his brother who lived in the USA. He now inherits the throne after a challenge from a rival.

Wakanda is an african country with wealth, power and immense technology that it hides from the outside world.

T'Challa's uncle wanted an uprising in the USA. Now his son Killmonger comes to Wakanda and challenges T'Challa for the throne.

Killmonger wins and leads the struggle for black power.

Black Panther is a well made efficient film from Marvel who really have nailed down their formula. The box office avalanche has surprised me. It simply is not that good with a very predictable story.,Overrated due to political correctness; it’s noble and has its points of interest, but it’s also kinda meh
	
RELEASED IN 2018 and directed by Ryan Coogler, ""Black Panther” details events when T’Challa (Chadwick Boseman) takes over kingship of the hidden African nation Wakanda after his father passes (John Kani). The kingdom is technologically advanced due to its secret resource Vibranium, a priceless, almost magical metal. Unfortunately, T’Challa’s reign is challenged by an angry American former-black ops soldier, Erik “Killmonger” (Michael B. Jordan).

With its black director and mostly black cast (with a couple of token white dudes), “Black Panther” was overhyped and overrated upon release. Critics were apparently afraid of being called “racist” by liberal fascists if they dared to be honest and say anything negative (rolling my eyes). The movie’s likable and certainly has its points of interest, but the characters are rather dull, except for Killmonger, and the story isn’t all that involving. It’s basically a mediocre superhero movie that has some blatant Bond-isms and is set apart by its primarily black cast and African locale. It fails to rise to the entertainment level of even “Ant-Man” (2015).

Still, it’s respectfully noble and the story provokes interesting questions, like isolationism vs. internationalism and African-American culture vs. Native African culture. But there’s some eye-rolling bits, like when Shuri (Letitia Wright) calls CIA agent Ross (Martin Freeman) a “colonizer,” which isn’t even accurate. Maybe it was supposed to be a joke.

The waterfall fight between the Black Panther and Killmonger was an homage to the first issue of The Black Panther series in Jungle Action: Issue #6, September, 1973. At the end of that comic’s story T'Challa and Erik fight at the top of a waterfall culminating with Killmonger throwing Black Panther over the cliff. This issue was the beginning of the ""Panther's Rage"" storyline by Don McGregor (featuring artists Billy Graham, Rich Buckler and Gil Kane), which ran for over two years in 13 issues of Jungle Action #6-18 and 209 pages, including the Epilogue. Many consider it the first graphic novel. Of course, this wasn't the first appearance of the Black Panther (who debuted in 1966), but it was the first issue where he was the starring character. 

And it was this series that provided the intriguing exposition on T’Challa, Wakanda and its citizens, visitors & enemies. It’s a travesty that McGregor, who created the characters of Killmonger & W’Kabi (Daniel Kaluuya) and conceived this exposition, wasn’t acknowledged in this movie; shameful.

THE FILM RUNS 2 hours, 14 minutes and was shot in Georgia (Atlanta, Fayetteville), South Korea (Busan) and Iguazú Waterfalls, Argentina. Ironically, nothing was shot in Africa. WRITERS: Coogler and Joe Robert Cole (and, uncredited, Don McGregor).

GRADE: B-,Awesome movie,""Black Panther is Marvelous (pun intended)""

T’Challa (Chadwick Boseman) returns home to his native Wakanda to be crowned king. Not long after he’s challenged for the throne and war looms over his homeland.

Black Panther isn’t your typical hero because let’s face it… He’s black. And apart from Bilbo Baggins (Martin Freeman) and Smeagol (Andy Serkis), everybody’s black. And that’s the way it should be.
The entire cast delivers. Boseman is excellent as king T’Challa who struggles with his new role. It doesn’t get any easierr when Killmonger (Michael B. Jordan) shows up. Killmonger is a mean SOB yet you care for him (some good writing right there). He’s a worthy adversary and one of the better Marvel villains. Jordan portrays him perfectly. Director Ryan Coogler and Michael B. Jordan are a match made in heaven. This is their third collaboration after ‘Fruitvale Station’ and ‘Creed’ and again they’re successful. The movie itself gets better as Jordan’s role gets bigger.

The female characters and actors are equally impressive. Especially Nakia (Lupita Nyong’o) and Okoye (Danai Gurira) steal the show.

There’s less humour in ‘Black Panther’ than we’re used to seeing in Marvel films but that’s not a bad thing. The movie doesn’t need it.

Though it’s set in (fictional) Africa there wasn’t any filming done in Africa. Nonetheless the movie looks right. The makers did a great job of creating Wakanda. Huge props to costume designer Ruth E. Carter and composer Ludwig Göransson who help bring Wakanda to life.
On the downside there’s a lot of CGI. Sometimes it’s too obvious (rhinos say hi). Despite that the battle scenes are beautifully choreographed. Especially Okoye wielding her spear is a thing to behold.

All in all ‘Black Panther’ is another wonderful addition to the MCU and we can’t wait to see what role T’Challa and his sidekicks are going to play in ‘Avengers: Infinity War’.,Black Panther will probably be remembered as a culturally significant film more so than a great one, but that shouldn't take away from the movie's deeper theme of inclusivity. This is a really good movie with heart and intelligence.

The fact that I have issues with the pacing, the generic action, or that I don't find Killmonger as complex a villain as the movie thinks is my problem. But I don't understand how people can hate on Black Panther because it integrates social and political themes into its narrative. Isn't contemporary relevance key in determining the greatness of a film?,I really enjoyed this film, it was new uncharted never done before, and they delivered a marvel masterpiece. I look forward to seeing the next one...,overhyped before release and overrated after release, Black Panther is nothing more than another paint by numbers MCU movie, with boring characters and a lead that lacks charisma,Overall Black Panther was an enjoyable movie, directed by Ryan Coogler. It is one of the biggest movies of 2018, with an outstanding cast who includes Chadwick Boseman and Michael b. jordan, amazing special effects, and a plot that leaves you on the downright edge of your seat for 2 hours and 15 minutes. After the tragic death of chadwick, had a thought about watch his movies and this one comes in my mind. This review is my tribute chadwick. This movie is pg-13, but it seems more 10 and up.  The awesome sci-fi action story about a prince of an utopian country facing the incredible truth about his family, <a href=""https://paperhelp.nyc/"">paperhelp</a> and the mantle of the black panther, protector of the country Wakanda, was amazing, and fits in with the mcu series perfectly. I reccomend that you watch Captain america:civil war first, as it would make some elements more understandable If you like superhero action movies, fantasy, or science fiction, come see this awesome movie.,","africa,superhero,based on comic,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,",78,477,"Ryan Coogler,"
さよならの朝に約束の花をかざろう,ja,FALSE,0,/yjfwNSDljAKsuHwwE34xjlY3tQj.jpg,http://sayoasa.jp,476292,tt7339826,"A story of encounters and partings interwoven between people; this is a human drama with feelings that touch one's heart gradually, which everyone has experienced at least once.",60.081,/hL3NqRE2ccR4Y2sYSJTrmalRjrz.jpg,2/24/2018,0,115,Released,In a world where love is forbidden... they will find love.,Maquia: When the Promised Flower Blooms,FALSE,8.3,296,"Animation,Fantasy,Romance,Drama,","Bandai Visual,Cygames Pictures,Hakuhodo DY Music & Pictures,Lantis,P.A.Works,",,"ja,","JP,",0,,"family relationships,tragedy,coming of age,dragon,military,woman director,anime,high fantasy,josei,family life,time skip,",11,7,"Mari Okada,"
The Cloverfield Paradox,en,FALSE,45000000,/lX4jScWnurasu6Kxuqo9819mjM2.jpg,https://www.netflix.com/title/80134431,384521,tt2548396,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",57.424,/dJe4s2h9hac0Fu3pQVV4OuWe8kU.jpg,2/4/2018,0,102,Released,The future unleashed every thing,The Cloverfield Paradox,FALSE,5.6,2247,"Mystery,Thriller,Horror,Science Fiction,","Paramount,Bad Robot,",,"en,","US,",3,"Putting Roy on a space station might sound like a bad idea, but making this movie was even worse. The Cloverfield Paradox is a rushed copy/paste job with not enough time to glue the events together. A bit of Alien here, a splash of The Philadelphia Experiment there and a handful of other classic sci-fi flicks sprinkled on top. Oh, that bit in Evil Dead was funny, lets have some of that too! Wrap it up with a title that attracts the horror people too and it is time to cash in the mockbuster it is.

Netflix. Don't go down this road. Let it end here.,It's fine sci-fi schlock. There's a likable cast, a few tense body horror moments, and an interesting idea with a disembodied arm. The mostly generic hodge podge of a script doesn't live up to the potential of the rest of the elements. However, the most glaring flaw is the B-plot, Earth scenes added thanks to test audiences, which doesn't have any bearing on the principal story that happens in space. Thanks, test audiences.,Like Prometheus in 2012, this was a serious disappointment. The characters' decisions are bizarre, motivations are unexplained. The science is bogus. The horror elements are not horrifying. The whole thing lacks style, originality, humour or any kind of spark.

The movie fails to establish any meaningful personality for the crew members, so the only question becomes which one will die next.  OK, there's one potentially interesting idea: have each character speak in their own national language (except the Brazilian guy: not sure why he doesn't get to?!) but the movie fails to take it anywhere.

Similar but much better films include: Europa Report, Event Horizon, Solaris (original and remake), Cargo, 2010.,","experiment,disorientation,space,alien,scientist,space station,alternative universe,",15,95,"Julius Onah,"
Annihilation,en,FALSE,40000000,/5zfVNTrkhMu673zma6qhFzG01ig.jpg,http://annihilationmovie.com,300668,tt2798920,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",36.705,/d3qcpfNwbAMCNqWDHzPQsUYiUgS.jpg,2/22/2018,43070915,115,Released,Fear what's inside.,Annihilation,FALSE,6.3,6113,"Science Fiction,Horror,","DNA Films,Paramount,Scott Rudin Productions,Skydance Media,",,"en,","GB,US,",4,"What does it look like to inferior human beings when an advanced alien race begins terraforming our planet right out from under us? This. This is what it looks like. 6/10.,Critics are by and large on board with _Annihilation_. Audiences however have been more split. Even the people I know personally are coming out strongly either for or against it. Normally, those are the kind of movies that I find myself feeling in the middle about. You know, the movies that people say ""You either love it or you hate it, there is no middle ground!""? Yeah, those are the sort of thing I almost always end up giving a five or six out of ten. But with this one? I fall very, very firmly on the side in favour of _Annihilation_. I did **love** it.

Aesthetics is a big part of that, I'm not gonna lie. I'm also digging the chimeric creature design I've seen on Netflix so far this year (in both this and _The Ritual_). But the philosophical stuff is what really does it for me. Annihilation approaches its context in a completely original way, and I for one feel richer for having seen it.

_Final rating:★★★★ - Very strong appeal. A personal favourite._,In and of itself, the history of Annihilation is not bad.
It has a lot of pictures and camera settings. The individual scenes are told leisurely and you take time for each individual setting. It is also noticeable that the figure drawings of every actress, carries a secret that is gradually revealed. This also makes it a bit more exciting for the narrative strand. Alex Garland also understands how to set the special effects to the perfect scene. The effects are very colorful and you can also notice how he is charging the tension. The creatures are very beautiful, although you know that in the next scene you can't trust the beauty. The meaning of life is also a message from Garland. Where we come from and where we go. Unfortunately, Garland sometimes delays the story too much and then waits in vain until Garland comes to the point. Also the actresses are very well selected and you notice that each of the women have a heavy backpack to wear.
Conclusion: A quiet and lengthy film about the existence and fate of different women bring mood, but a bit more action you would have already given the movie!,It helps to have an open mind and just let yourself go with the flow of the story ... most plot elements align about half-way through the film. Meanwhile just lean back and enjoy the outstanding visual effects, cinematography and sound design. And it has a few very disturbing/creepy scenes that may be tough for some.,","coma,based on novel or book,depression,florida,dna,self-destruction,expedition,professor,mutation,alligator,transformation,swamp,meteor,quarantine,physicist,hybrid,grief,cancer,psychologist,memory loss,scientist,team,paramedic,missing person,beast,geologist,biologist,unusual phenomena,compound,missing husband,fauna,mysterious life form,flora,",22,153,"Alex Garland,"
Peter Rabbit,en,FALSE,50000000,/vBIvSqbSNbABqAqP92utXzSXUhE.jpg,http://www.peterrabbit-movie.com,381719,tt5117670,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.,36.251,/2yjSvEDuM3rLDng40erLsWkQRfn.jpg,2/7/2018,351266433,93,Released,Who said the countryside was peaceful?,Peter Rabbit,FALSE,6.7,1077,"Animation,Adventure,Family,","Columbia Pictures,Animal Logic,2.0 Entertainment,Olive Bridge Entertainment,Screen Australia,Screen NSW,Sony Pictures,",Peter Rabbit Collection,"en,","US,",1,"I was very pleased with this film. My gf and I appeared to be the only ones in the theater without kids. And the auditorium was full. The movie is very kid centric and does not rely on crude or off color humor to keep the adults interested. Many, many times the kids laughed out loud. As did many adults. And much to my surprise, a good majority of the audience applauded at t he end. I've seen a few movies where some of the audience clapped.  But not one where the vast majority did. I recommend it going and seeing it if you have kids. And even if you don't.,","human animal relationship,based on children's book,rabbit,duringcreditsstinger,live action and animation,food allergies,half dressed cartoon animal,",28,15,"Will Gluck,"
Abducted,en,FALSE,0,/7FQOYgA97hja8d8h17XlsjtQWXS.jpg,,538260,tt3580692,"After 7 year old Eden is kidnapped during an home invasion, single father Dane Hunte takes matters into his own hands, while Detective Fini, leading the investigation, unravels the mystery surrounding the unusual crime.",21.538,/wAbvph9ikY22CrOPVJOaPFPySH.jpg,2/21/2018,0,110,Released,,Abducted,FALSE,5.8,6,"Action,Crime,Drama,","Imaginating Pictures,",,"en,","US,",0,,,21,6,"Prince Bagdasarian,"
Red Sparrow,en,FALSE,69000000,/sGzuQYSTwJvLBc2PnuSVLHhuFeh.jpg,https://www.foxmovies.com/movies/red-sparrow,401981,tt2873282,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",32.519,/oy6EYWzTwcIMjQYTS6uXS7JXGOx.jpg,2/28/2018,151572634,140,Released,Seduce. Deceive. Repeat.,Red Sparrow,FALSE,6.5,4446,"Mystery,Thriller,","Soundtrack New York,Chernin Entertainment,Film Rites,20th Century Fox,",,"en,","US,",3,"I love Jennifer Lawrence, she's just amazing. It's not her best apparition but she's the main character of the plot, so you can appreciate her like in no other of her movies.

Twisted and complex, the main plot is defined by itself during the development of the movie.

By synopsis, Dominika Egorova (Jennifer Lawrence) it's a professional ballet ballerina that tragically forced to change her career path by an ""accident"".

Moved by her family needs, she's accept some ""business"" propositions that subsequent convert her into an Sparrow, a secret government physiologic weapon of seduction.

By personal opinion you can feel this movie very slow because of the absent of a good sound work. The image of this movie was perfect for an excellent sound editing and mixing, so the absent of this take some points in the final score in public perception.,It's one of those movies where you know what's going to happen in the end but you aren't sure how it's going to happen. Then at the end you know you have to watch it again so that you can understand how it happened.,I thought I was going to get _Black Widow_ only boring, but what I ended up getting was actually _Atomic Blonde_ only boring.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","cia,sexual abuse,based on novel or book,russia,seduction,training,torture,russian spy,",39,152,"Francis Lawrence,"
"Love, Simon",en,FALSE,17000000,/rqMEeajyzSF4PpJtdCB816Iz8Vr.jpg,https://LoveSimonMovie.com,449176,tt5164432,Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,38.011,/5YUYg5q7QfC4IoNwNUtiwdiYKPr.jpg,2/16/2018,66316289,110,Released,He's done keeping his story straight.,"Love, Simon",FALSE,8.2,4616,"Comedy,Drama,Romance,","Temple Hill Entertainment,Fox 2000 Pictures,New Leaf Literary & Media,20th Century Fox,Twisted Media,","Con amor, Simon - Colección","en,","US,",2,"Love, Simon is a safe, non-threatening, formulaic, consumable pastiche created to make straight audiences feel progressive for watching a ""gay"" movie.,Some very powerful moments. Some very relatable moments. But it's also nice to see a queer drama which (despite a character's homosexuality being the core of the narrative) isn't wholly fucking depressing.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,","sexual identity,sexuality,based on novel or book,coming out,class,high school,love,male homosexuality,bully,coming of age,teen movie,teenager,lgbt teen,based on young adult novel,gay,lgbt interest,",57,38,"Greg Berlanti,"
The Hurricane Heist,en,FALSE,35000000,/3ZQRLuXNTbewOHDfxF51fy74gh4.jpg,https://www.lionsgate.com/movies/the-hurricane-heist,430040,tt5360952,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,25.977,/rAmcj5IZcx59dhev3UnVDEGlImK.jpg,2/28/2018,32517248,103,Released,The storm of the century... the heist of a lifetime.,The Hurricane Heist,FALSE,5.7,702,"Action,Crime,Thriller,","Windfall Productions,Foresight Unlimited,Parkside Pictures,RSVP Entertainment,Signature Pictures,Tadross Media Group,Double Negative (DNEG),Metrol Technology,Lipsync Productions,Dream Team Films,Head Gear Films,Lionsgate,",,"en,","US,",2,"Unlikely to win any awards but a decent, if run-of-the mill, heist plot. Clever use of weather at times. Sometimes over-the-top.,Mostly poor.

<em>'The Hurricane Heist'</em> is an OK disaster film but is majorly let down by the up and down special effects and largely plain acting. I did enjoy the ending, which is very <em>'The Fast and the Furious'</em>-esque - little surprise to learn that Rob Cohen directs both.

Cast-wise it's underwhelming. Maggie Grace (Casey) is the standout, it's cool to see her in something other than <em>'Taken'</em>. Toby Kebbell (Will) is the best of the rest, though he and the others are pretty dull. Better onscreen talent needed.

The overall story is alright, even with its clunky twists. The effects, as noted, are lame for the majority but one or two scenes look decent. It could've been a lot worse, the third act certainly improves my feelings towards this film.,","hurricane,heist,treasury department,meteorologist,disaster movie,",15,123,"Rob Cohen,"
Status Update,en,FALSE,0,/MM6MxpRnsi5BkXJhWXVhFC0ccr.jpg,http://statusupdatemovie.co.uk,416494,tt5692390,"After being uprooted by his parents' separation and unable to fit into his new hometown, a teenager stumbles upon a magical app that causes his social media updates to come true.",29.866,/E4twRNScyq3g6tRpvK6X8LdD1z.jpg,2/9/2018,0,106,Released,Imagine if every time you updated your status your dreams came true,Status Update,FALSE,6.8,210,"Comedy,Fantasy,Science Fiction,",,,"en,",,0,,"high school,teenager,social media,divorced parents,app,",25,2,"Scott Speer,"
