original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Ant-Man and the Wasp,en,False,140000000,/xjFgtltOOuBtLdNedQH8M1TTrjc.jpg,https://www.marvel.com/movies/ant-man-and-the-wasp,363088,tt5095030,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",76.538,/eivQmS3wqzqnQWILHLc4FsEfcXP.jpg,2018-07-04,622674139,119.0,Released,Real heroes. Not actual size.,Ant-Man and the Wasp,False,7.0,9149,"Action,Adventure,Science Fiction,Comedy,","Marvel Studios,",Ant-Man Collection,"en,","US,",7,"It's fun to see big stuff get real little and little stuff get real big, but _Ant-Man and the Wasp_ suffers the same problems of its predecessor, except this time with an added issue, one that effects many movies (and even more TV shows), the problem of ""The entire movie didn't have to happen if people would just have had normal human conversations with one another"".

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,Actually quite good! It's like a less-weird, but more fun version of a Deadpool - in the sense that it is both filled with action but also with fun acting.

I recommend it for a Saturday evening. It is quite wholesome.,I did indeed enjoy this movie…somewhat. However I cannot say that I was overly impressed.

The story was okay. I would not expect a deep and thought provoking story from a super hero movie nor would I want it. It served as a decent enough vehicle for moving things forward.

Most of the actors did a good enough job of the role they were given which in some cases was pretty much mission impossible given some of the overly silly characters in the movie. In particular I got tired of Luis almost before the first scenes he was in had finished. He was just so silly that you started to wonder what age the target audience was. Jimmy Woo was not far behind.

I think this leads to my main gripe with the movie. I expected a super hero movie but what I got was a fairly lame comedy with super heroes in it. It was just too much comic elements in it for me. I could probably have liked it if the jokes were somewhat intelligent but, for me, they were not. They alternated between overly silly and stupid characters, slap-stick and simple fall-on-your ass jokes.

What about the bad guy? Well, first off, there was not really a distinct bad guy but a hole bunch of them. Unfortunately none of them had any real bad guy charisma. I assume that Sonny was supposed to be the main bad guy and he certainly had enough evil lunatic air about him to fit that but again…too silly. Then we have the lame Jimmy Woo who was just annoying. The Ghost was probably the best one but then she was not really a bad guy was she?

I did like most of the action and the special effects though. The playing around with shrinking and returning to normal size, or greater, was both cool and funny. This shrinking business is of course a difficult theme to work with from a science and logic point of view. For instance, if you shrink a car to the size of a toy car it still weighs like a full size one and you cannot just pick it up. And what about the lab popping up and down all the time? Why weren’t everything shaken to bits inside when they started to run around with it? And don’t get me started about electricity and plumbing. But then, in this kind of movie I would say just just have to turn off that part of your brain. It made for some cool scenes after all.

I also did like that the story was more of a down to Earth story. No overall galactic plot, no snapping of fingers to make…well you know what. Okay, there was the post credit scenes which was a bit of an annoying tie in. Perhaps best of all though, I could not really feel much SJW or other form of politically correct preaching being showed down my throat. Today that is a great plus for any movie.

So, to sum up, I did enjoy it but it was not great and I was indeed a little bit disappointed at the end.,For fans of the first one, which includes me, Ant-Man and the Wasp is more of what you like. More heisting. More car chases. More Giant Man. More of the three wombats. More humour. More mediocre villains. More romance between Scott and Hope. More family bonding. And of course, more quantum realm. It's fun. It's light hearted. It works.

That post credit scene though .... 😲,“Ant-Man and the Wasp” is a really weird Marvel movie.

Like its pint-sized superhero, the film doesn’t quite fit in with the typical MCU big screen canon and is a laid back yet thoroughly forgettable entry into the fatigued superhero genre. The story doesn’t try to tie too much together (save for a mid-credits scene), there’s not an over-dependence on rambunctious CGI effects, and the attempts at humor feel oddly forced (I’d estimate only 30% of the jokes land successfully). Despite the lame title characters and the ever-likeable Paul Rudd‘s offhand charisma, this film gives the impression that it’s an average C student trying desperately to overcome underdog status and achieve a place on the honor roll.

The best part of the film besides Rudd (he makes this one, just like every movie he’s cast in, impossible not to enjoy at least a little), are the special effects. Sure, they’re all computer generated, but they’re some of the most creative since 2016’s “Doctor Strange.” The worst part of the film is its contrived humor. It’s stiff, often cringe-worthy, and sticks out like a sore thumb as it grows increasingly desperate. The film’s multiple writers couldn’t have helped things, and the barrage of thoughtless, lazy jokes quickly wore me down.

Also lacking is suspense and a viable antagonist. There’s the oddly disturbing Ghost (Hannah John-Kamen), a woman who is living in unbearable pain and appears to be a formidable foe for Ant-Man (Rudd), The Wasp (Evangeline Lilly), and Hank Pym (Michael Douglas). But then she suddenly finds her heart and the evil disappears. The same goes for Dr. Foster (Laurence Fishburne), a professor who also has a near immediate change of heart. The thin rescue mission premise of extracting Hank’s wife Janet (Michelle Pfeiffer) from the Quantum Realm after being trapped there for the last 30 years also means there’s not too much else to root for.

The quantum rules change on a whim to fit the action sequences, with a sometimes shrinking and sometimes growing super suit. And cars. And buildings. The exposition dialogue is long-winded and repetitive, and the ill-advised “comic” relief from Michael Peña is not snarky enough to feel fresh or new (see “Thor: Ragnarok“).

This is a shallow, pointless film that becomes an exhausting bore.,I have the impression that this movie is not a favorite of the hardcore Marvel community, which makes sense, as I am not part of that community and this is flat out my favorite entry into the Marvel line. In fact, it is the only Marvel film I have recommended my wife watch with me. (She hasn’t taken me up on it yet.)

I like the humor from the Scott Lang character and its self-deprecating tendency. Perhaps it would be over the top in a more serious entry like the infinity movies, but it works here. I really enjoy the chemistry between him and his daughter and I even appreciate the Luis character, which apparently separates me from the serious Marvel viewers. It is a fun ride and is not so much fueled by the violence of the other entries in the genre. 

In fact, the only thing I didn’t like is the bittersweet way this movie is tied into the Infinity universe, regarding Scott (Ant-Man) and his daughter. And since that happens off in a different film altogether, it allows the story within this movie to stand on its own. If the reason you haven’t watched this is because you aren’t into the rest of the Marvel series or are worried about not getting it out of sequence, don’t worry. It stands on its own.,The Ant-man and Wasp is simple, silly movie with some redeeming features.  It grew on me despite the silly acting and twisting plot that had a few unnecessary scenes. The special effects were pretty good, and I liked most of the combat scenes. They went a little overboard with CGI, which broke through my suspension of disbelief on a few occasions. 

There were too many characters who played a weak villain. None of them felt like a real threat to any of the heroes. That gave the movie a very cartoonish feel. 

What was weird that Ant-man's love interest Wasp, played by Evangeline Lilly, looked like she could have been his mother! Every time they showed affection for each other, like when they kissed, I recoils with a mental ""ewww, this is gross!"". Wasp was like a cougar hunting Paul Rudd.

Overall, the movie was enjoyable as long as you don't question its science, since it wouldn't work even if you believe their explanation of the quantum realm. 

Final note, skip the credits and there is a scene in there to tie it into the rest of the MCU. The scene is entirely unecessary, and it ruins the actual ending of the movie. They should have left it out.,","insect,ant,shrinking,sequel,superhero,based on comic,miniaturization,giant man,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,",75,470,"Peyton Reed,"
Unfriended: Dark Web,en,False,1000000,/2Dk9WG8R0PYlgZjo5F9iheKybpO.jpg,http://www.unfriended-darkweb.com,505058,tt4761916,"​When a 20-something finds a cache of hidden files on his new laptop, he and his friends are unwittingly thrust into the depths of the dark web. They soon discover someone has been watching their every move and will go to unimaginable lengths to protect the dark web.",72.923,/gnj2opTQWGaLtB7kZ4OuMtG2RWa.jpg,2018-07-19,9602624,93.0,Released,Death wants some face time.,Unfriended: Dark Web,False,6.2,870,"Horror,Mystery,Thriller,","Universal Pictures,Bazelevs Production,Blumhouse Productions,",Unfriended Collection,"en,it,","US,",1,"Something that I've noticed recently in horror franchises that have tried to get off the ground in the past couple of years, the second entry is actually better than the first. In ages past, a thing unheard of, but now at least as common as not. Same goes for _Unfriended: Dark Web_. Just about everything is one step up from the first _Unfriended_ movie: Acting, AV, urgency, the shorter wait times, and the new direction _Dark Web_ takes in terms of its antogonists (I won't spoil it for you, but surely you're capable of reading a title and putting it together for yourself) works better in this one too. I feel at least.

Now neither of these films are perfect, but the first _Unfriended_ movie was okaaaaaaaaay, and this one has managed to push it by the skin of it's teeth over in to what I could honestly argue is ""good"".

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,","webcam,sequel,lesbian relationship,hacking,computer screen,found footage,skype,game night,",16,33,"Stephen Susco,"
Skyscraper,en,False,125000000,/oMKFQmoVgB69fyXfSMu0lGlHJP2.jpg,https://www.skyscrapermovie.com,447200,tt5758778,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",80.242,/3NL1FiTEhU4SWOuWk8lkVCbmnYm.jpg,2018-07-11,292351275,102.0,Released,Don't look down,Skyscraper,False,6.3,3450,"Action,","Flynn Picture Company,Legendary Pictures,Seven Bucks Productions,The Third Floor,",,"cn,zh,en,","US,",4,"You might expect a former FBI agent to be able to handle a gun, or protect himself at gunpoint. But you sure as hell don’t expect a doctor to, and yet, Sarah Sawyer can not only steal a gun pointed at her, she can stop a burning building’s fire without even being in the building!

Will Sawyer’s posed with a challenge when the tablet that he was for some reason given with full control of the security system and just about everything else about the building, gets stolen, the building set on fire, and his family stuck above the fire with little means to get out.

Will, who is now a suspect, takes it upon himself to enter the burning building, get his family, and leave the burning building. This isn’t as easy as that sounds, because there’s a MacGuffin to be gotten and the people that set the building on fire will stop at nothing to get it. Oh, and did I mention **he only has one leg!**

_Minor spoilers ahead._

Skyscraper was extremely predictable, the only thing I didn’t see coming was the fact that they wasted five minutes of our time showing Will telling Sarah to turn off and back on her phone to fix it, just to set up the ending where Sarah turns off and back on the building to stop the fire.

The one thing I did enjoy from this film was near the ending when they’re in _The Pearl_, but you don’t watch a movie for a single scene.

Rawson Thurber should stick to comedy, where he has experience. This is a waste of the $125,000,000 it took to make it, and it’s a waste of the $12 to watch it. Skip this one.,Well, if you are a fan of The Rock this is a decent enough high octane action, disaster and special effects movie. If not, well then you probably have to be a pretty big fan of special effects and action to overlook its weak points.

Let’s start with the good stuff. One, it is The Rock (yes I am a fan) although he certainly doesn’t come out at his best in this movie. Personally I could do without the artificial leg crap but it didn’t bother me too much in the end. It didn’t really add anything except some silly (and unrealistic scenes) though.

Then we have the action and the special effects. They were as good as you would expect from a multi million dollar action movie. At least I enjoyed them. I really liked the design of the Skyscraper. I thought it was booth cool and beautiful. I kind of would like to see it built in real life.

Was the movie derivative? Well of course it can be said to be derivative! How many movies with burning Skyscrapers and bad guys hi-jacking them can you make before it becomes derivative after all? The first movie named Skyscraper was made in 1928 for Christ sake. It didn’t bother me at all.

Now for the not so good. The movie was hugely predictable. I mean, you could tell who the bad guys were from the first scene they were in. Especially the rat faced jerk Mr Pierce. The main bad guy? Well, he was no Hans Gruber that’s for sure. More like a common thug. The movie really lacked a bad guy with some charisma. Overall, most of the movie from start to finish was really a no-surprise-there event from the first bad guy entering the scene to the rebooting of the systems.

Then we have the realism factor. I do not expect an action and special effects movie to be realistic but there are some limits. Sawyer climbing around on the outside of the building (with one leg remember) in the updraft from 50 or so burning levels was just nonsense. Also, a building burning that much and that long and yet all the electrical wiring and plumbing still working was a bit too much. The absolutely worst offence though was how everyone magically survived sitting in the middle of the fire being extinguished by the release of halon gas (or some equivalent). That just brings stupidity (or maybe laziness) in script writing to a whole new level.

So, to sum it up, this move could have been a lot better. To me it was saved by The Rock and my love of special effects loaded action movies.,_Die Hard in a (X)_ is a pretty classic movie formula, it doesn't get as much play now as it did in the 80s and 90s, but we can still reliably expect at **least** one every couple of years, even now. But when it's _Die Hard in a Skyscraper_... I mean... That's just _Die Hard_. Even _Die Hard 2_ had the sensibility to be _Die Hard in an Airport_.

Except that, no, this isn't just _Die Hard_, because (and I don't think anyone would be shocked to find this) it's not as good. I mean I love The Rock and all, but come on.

Final rating:★★ - Had some things that appeal to me, but a poor finished product.,It's an ultimate frame of mind movie.

It is what it is, it's Dwayne ""The Rock"" Johnson as the hero of the tale who has to achieve the impossible when the world's tallest building catches fire. His family is trapped in said building inferno and there's bad guys running around creating trouble.

So sit down and get ready for fantastically high energy action scenes and hold your breath peril sequences. You have to be in the right frame of mind for this type of entertainment, to understand it's a blockbusting popcorn piece made to take you out of the real world, it does not have cranial splendours or social commentary.

It's great to have Neve Campbell back kicking butt, rising above just being a female token waiting to be saved by her heroic husband. And of course if you can't smile at the makers having Johnson being handicapped with an artificial leg - and still turning into Usain Bolt for various scenes - then this isn't the film for you.

Some way short of the classy verve of The Towering Inferno or the brutal brilliance of Die Hard, this does its job handsomely enough for the like minded souls after some escapist carnage. 6/10,","china,fire,skyscraper,hong kong,high tech,security system,pearl,penthouse,world's tallest building,trapped in burning building,",57,128,"Rawson Marshall Thurber,"
Mission: Impossible - Fallout,en,False,178000000,/aw4FOsWr2FY373nKSxbpNi3fz4F.jpg,https://www.missionimpossible.com/,353081,tt4912910,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",76.616,/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,2018-07-13,791017452,147.0,Released,Some Missions Are Not A Choice,Mission: Impossible - Fallout,False,7.4,5504,"Action,Adventure,","Paramount,Bad Robot,Skydance Media,TC Productions,Alibaba Pictures Group,",Mission: Impossible Collection,"en,fr,","CN,US,FR,NO,",6,"Some things age like fine wine and in the cinematic world the ‘Mission: Impossible’ franchise is a great example of the adage. Perhaps it has to do with the 56-year-old Tom Cruise who defies age and pushes his physical boundaries for our viewing pleasure? The answer is quite evident in ‘Fallout’ as his Ethan Hunt is as good as a caped superhero in the sixth film of the series. The story isn't all that new with its twists and turns. But ‘Fallout’ manages to build on the previous films in the series by bringing back old friends and foes, besides adding some new ones. Henry Cavill as August Walker fits right into this universe as the hammer to the scalpel that is Ethan Hunt. His presence is looming enough to fill the entire screen whenever he appears. Simon Pegg takes on the status of a series regular alongside Ving Rhames, whose Benji and Luther respectively play more than just mere sidekicks as they add comic levity and heart. Alec Baldwin and Angela Bassett also make a mark in their brief appearances but watch out for impactful turns by Rebecca Ferguson and Michelle Monaghan along the way.

Writer & Director Christopher McQuarrie allows each character to shine while building on their history with each other, thus making them endearing to the audience. This only serves to up the ante when they’re in danger. McQuarrie also lets the story breathe by bringing some calm before the storm hits. Which leads to the most crucial aspect of the series, and one that McQuarrie clearly excels at in this film – the action sequences. Not only are they meticulously planned; they are executed with precision, even when the fist fights are gritty and gruesome. Rob Hardy beautifully choreographs the camerawork following these intricate set-pieces, either allowing you to take in the expanse or bringing you up close and personal when required. This is paired with a soundtrack by Lorne Balfe that lends to the tension by giving the iconic ‘Mission Impossible’ theme a sinister sense of urgency.

McQuarrie has now directed two ‘Mission: Impossible’ films; his understanding of the franchise and its characters proves to be the secret weapon of the series. The fact that the stunts are largely done with practical effects featuring the cast, and most prominently Cruise himself, sets a whole new standard for action films. ‘Mission: Impossible – Fallout’ is a great mix of plot, pacing and performances that is undeniably the best entry in the franchise, while it re-establishes Cruise’s status as an action superstar.

Review by Times of India (TOI)
Final Rating - 4.0/5,Mission Impossible - Fallout is a continuation of Mission Impossible - Rogue Nation. It is directed by Christopher McQuarrie who also directed Rogue Nation and also has the return of the psycho villain Solomon Lane (Sean Harris) who the bad guys want to set free.

Ethan Hunt (Tom Cruise) is after the mysterious John Lark and a terrorist group called the Apostles who have stolen three plutonium grade devices and plan to set them off.

Hunt has to reluctantly accept a new team member. CIA operative August Walker (Henry Cavill) because the IMF team were responsible for losing the plutonium in Berlin.

As a spy thriller there is enough tension, thrills and a serpentine story with several twists.

However the film is overlong and I felt that some of the action scenes consisted of myriad chase scenes that were stylishly done but nothing really memorable liked the Burj Khalifa climbing scene.,Excellent story line with tremendous stunts by Tom Cruise himself. This movie is worth every penny that you spend.,I have to say I have not been a great fan of the Mission Impossible movies. Sure, there’s plenty of action and cool stunts but I do not feel they follow the spirit of the TV-show. In the TV-show they got their mission and then they completed it, tricking the bad guys, with the full backing of the IMF team. No political bullshit, betrayal of the team and such like nonsense.

However, in pretty much every movie Ethan or the entire IMF team was betrayed or set up and he had to, not only complete his mission but, clear IMF from whatever shenanigans the story writers had dreamed up. The movies have been Mission Impossible in name only. I wonder if the moron script writers has ever watched the show.

In this movie too there is indeed a bunch of political nonsense and betrayal. Shit that I could be without. But at least IMF and Ethan’s team are on his side throughout the movie. There are also a few clever parts where they trick the bad guys in a good old fashioned Mission Impossible style.

Otherwise the movie is mostly a classical Hollywood action adventure/thriller movie. Plenty of, more or less, non stop action. There are a few of the usual WTF story holes and defiance of physics when it comes to the stunts of course. The dumbass CIA director was a completely unnecessary element though.

Still, overall I found this installment in the franchise to be one of the better ones. Maybe even the best one yet.,Movie was good but its not better than ghost protocol.,They just keep getting better, but they never get good.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","paris, france,london, england,spy,helicopter,plutonium,gun,countdown,race against time,sequel,motorcycle,violence,bomb remote detonator,handgun,hand to hand combat,kashmir,",51,222,"Christopher McQuarrie,"
The First Purge,en,False,13000000,/r4clWIxKeWoqrHspQP0XunuUmB7.jpg,https://www.thefirstpurge.com,442249,tt6133466,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",76.443,/litjsBoiydO6JlO70uOX4N3WnNL.jpg,2018-07-04,137056262,97.0,Released,A Nation Reborn,The First Purge,False,5.9,2690,"Action,Science Fiction,Thriller,Horror,","Platinum Dunes,Blumhouse Productions,Universal Pictures,",The Purge Collection,"en,","US,",1,"_The Purge_ has come a long way since its inception. Originally used as nothing more than an excuse to explain away ""Why don't they just call the cops?"" in your average home-invasion movie, the original _Purge_ movie had implied classism for the meat of it, and then an actual call to class division right at the end. Since then, the classism, and racism in American society has become a focal B-story to the _Purge_ movies, and now we're in 2018 for the prequel - _The First Purge_ - and those issues are now the whole point of the movie. Some might say that it's because the movies have lost any sense of subtlety, personally I think it's more that the creatives are sick of people missing the point.

_The First Purge_ can't have been an easy thing to give the go-ahead in the current political climate over in the US, but it's important, and moreover, not a bad little film, socio-economic politics aside.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,","new york city,sequel,prequel,murder,violence,purge,abuse of power,",63,57,"Gerard McMurray,"
The Darkest Minds,en,False,34000000,/5BxrMNGl3YDiWgHCVJu8iLQoJDM.jpg,https://www.20thcenturystudios.com/movies/the-darkest-minds,445651,tt4073790,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",64.86,/94RaS52zmsqaiAe1TG20pdbJCZr.jpg,2018-07-25,41142379,105.0,Released,The ones who changed will change everything,The Darkest Minds,False,7.0,1915,"Science Fiction,Action,Drama,Romance,Adventure,Thriller,","21 Laps Entertainment,20th Century Fox,",,"en,","US,",2,"Darkest Minds: Rainbow

They grow slightly older and have kids. Some of those kids are new colours. I like purple. Purple is cool.,Really bad, the kind of thing that probably at least would have been commercially succesful about five years ago, but now? Ends up not only a box office lightweight, but also a failure of a story.

_Final rating:★½: - Boring/disappointing. Avoid where possible._,","based on novel or book,dystopia,super power,children on the run,woman director,based on young adult novel,",50,21,"Jennifer Yuh Nelson,"
The Equalizer 2,en,False,62000000,/a24i4Qw6qFTtkFLQsncv8WPwevj.jpg,http://www.equalizer.movie/site/,345887,tt3766354,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered.",63.255,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,2018-07-19,102084362,122.0,Released,There is no equal,The Equalizer 2,False,6.5,3133,"Action,Thriller,Crime,","Lonetree Entertainment,Fuqua Films,Escape Artists,Sony Pictures,ZHIV Productions,Mace Neufeld Productions,Colombia Pictures,",The Equalizer Collection,"ar,en,fr,he,es,tr,","US,",1,"The ending showdown was very cool, something I've never seen before on screen, _Equaliser 2_ certainly has things like this that I enjoy, it's not a bad movie, but it is a little bit of a disappointment after the first one. Though I certainly liked _The Equalizer_ more, I am a fan of both movies (so I guess the whole franchise at this point) and if Denzel is up for making more of these Defender-of-the-Downtrodden, ass-kickin' super soldier Action movies with human-interest stories peppered in via the supporting characters, then I'll sure as Hell keep watching 'em.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,","rape,cia,martial arts,hostage,kidnapping,hurricane,drug dealer,sequel,revenge,murder,gang,massacre,violence,elite forces,vigilante justice,",52,264,"Antoine Fuqua,"
Teen Titans Go! To the Movies,en,False,10000000,/pJbhAQBWl1JONGJrzuVBo8kjdg.jpg,https://www.warnerbros.com/teen-titans-go-movies,474395,tt7424200,"All the major DC superheroes are starring in their own films, all but the Teen Titans, so Robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. Thus, with a few madcap ideas and an inspirational song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams.",47.958,/mFHihhE9hlvJEk2f1AqdLRaYHd6.jpg,2018-07-27,28646544,85.0,Released,The superhero movie to end all superhero movies. Hopefully.,Teen Titans Go! To the Movies,False,7.4,783,"Animation,Action,Comedy,Science Fiction,","Warner Bros. Animation,DC Entertainment,DC Comics,",Teen Titans Go! Collection,"en,","US,",1,"I'm pretty sure this was ghostwritten by Jodie Foster.

""_The Teen Titans will never get a movie!_"" - Quote from a Teen Titans movie, the third released in as many years.

_Final rating:★½: - Boring/disappointing. Avoid where possible._,","dc comics,movie business,superhero,hollywood,teenager,super power,duringcreditsstinger,metacinema,",29,24,"Peter Rida Michail,"
Extinction,en,False,0,/mPNGcX1j5SFeDETkvcJA9POaNx8.jpg,https://www.universalpictures.com/movies/extinction,429415,tt3201640,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",44.829,/qjnNdjrZIdi7d316SjjkgEjJRSg.jpg,2018-07-26,0,96.0,Released,We were not here first,Extinction,False,6.0,1231,"Action,Drama,Science Fiction,Thriller,","Good Universe,Mandeville Films,Universal Pictures,",,"en,","US,",1,"Really good watch, could watch again, and can recommend.

A big fan of Michael Peña (""Ant-Man"") and Lizzy Caplan (""Mean Girls""), and while both are (more) traditionally comedic actors, this definitely shows off their range.

While the production value is actually quite good, some of the choices at least give a nod to older b movies.  The invaders' armor, in particular, looks unnecessarily ridiculous.

Almost everything that makes this movie really good though is trapped behind spoiler walls as there is a mystery aspect to the movie: even in the premise.,","space,alien,mechanic,alien invasion,spaceship,",28,34,"Ben Young,"
Siberia,en,False,2000000,/rp6aXM2EWkaUdq6zbSlhUOY2869.jpg,https://www.siberiamovie.com/,438689,tt6494418,"Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him.",53.999,/eGfIsvdrUhTlQOkxQIELU7obDYj.jpg,2018-07-13,2006704,105.0,Released,This was not the plan.,Siberia,False,4.9,327,"Crime,Romance,Thriller,","Buffalo Gal Pictures,Summerstorm Entertainment,Company Films,",,"af,de,en,ru,","DE,CA,US,",1,"A little bit of a different kind of a movie, _Siberia_ does not seem quite sure what sort of viewing experience it wants to be, but it's okay. The leads are quite good and it managed to keep me more or less engaged from start to finish (and especially for that finish).

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","russia,missing person,siberia,fsb,diamond trader,american in russia,",34,141,"Matthew Ross,"
