original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Wander,en,False,0,/wk58aoyWpMTVkKkdjw889XfWGdL.jpg,https://www.paramountmovies.com/movies/Wander,646593,tt9689696,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",1226.351,/2AwPvNHphpZBJDqjZKVuMAbvS0v.jpg,2020-12-04,0,94.0,Released,The conspiracy is real.,Wander,False,5.7,20,"Thriller,Crime,Mystery,","WANGO Films,Aloe Entertainment,Don Kee Productions,Falconer Pictures,Verdi Productions,Ironic Misnomer,",,"en,","CA,US,",0,,"small town,new mexico,paranoia,murder,flashback,grief,conspiracy,car accident,violence,private detective,fbi agent,ptsd,",16,22,"April Mullen,"
Godmothered,en,False,0,/2ltadt0HtHS8qD3xREVds3PDxkP.jpg,https://disneyplusoriginals.disney.com/movie/godmothered,662546,tt11681250,"A young and unskilled fairy godmother that ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored. What she discovers is that the girl has now become a grown woman in need of something very different than a ""prince charming.""",1210.255,/yXlf0iwxdVmIZgRSZMIMsT1ekuE.jpg,2020-12-04,0,110.0,Released,Be careful who you wish for.,Godmothered,False,7.4,163,"Family,Fantasy,Comedy,","Walt Disney Pictures,The Montecito Picture Company,Studio AKA,",,"de,en,","US,",0,,"christmas,fairy godmother,",26,107,"Sharon Maguire,"
Angela's Christmas Wish,en,False,0,/eo6pahstCYRUm0Lk4MORmfCs2SH.jpg,https://www.netflix.com/title/81151926,752455,tt13260836,"A determined Angela makes a wish to reunite her family in time for Christmas, then launches a plan to find her way from Ireland to Australia.",753.106,/eu747ko823mktL3ygo7ohdZznP7.jpg,2020-12-01,0,47.0,Released,,Angela's Christmas Wish,False,6.9,29,"Animation,","Brown Bag Films,",Angela's Christmas Collection,"en,","US,IE,",0,,,1,3,"Damien O'Connor,"
Tudo Bem no Natal Que Vem,pt,False,0,/36xTkr5CxVGKqe55q6lxVa8LyK3.jpg,https://www.netflix.com/title/81160045,755339,tt13354204,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.",694.555,/pv4e8yKGMJAaZihYPFUjYHsG8Ob.jpg,2020-12-03,0,101.0,Released,Imagine waking up and everyday is Christmas day.,Just Another Christmas,False,7.9,127,"Comedy,Family,","Camisa Listrada,",,"de,pt,es,","BR,",0,,"christmas,",10,2,"Roberto Santucci,"
Wir Können Nicht Anders,de,False,0,/zMcEalkxEiRjvmijliLBk0sYern.jpg,http://www.netflix.com/title/81342028,765123,tt13446424,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",642.754,/ajKpYK7XdzIYjy9Uy8nkgRboKyv.jpg,2020-12-04,0,105.0,Released,,Christmas Crossfire,False,5.3,18,"Comedy,Crime,Thriller,","DCM Pictures,Boje Buck Produktion,The Post Republic,ZDF,",,"en,it,de,","DE,",0,,,25,16,"Detlev Buck,"
Lady Driver,en,False,0,/xUWxP7XuCCu9NvaDKmRuWgthi8C.jpg,,591629,tt7562334,"When a rebellious teen embarks on a solo summer journey to connect with her roots, she finds herself in a new world, geared up for the ride of her life, and discovers she had the drive in her all along.",290.193,/uGLbtsn1yzRMe8rTVN8jGo4naYf.jpg,2020-12-03,0,104.0,Released,,Lady Driver,False,4.5,4,"Drama,","ESX Entertainment,Forrest Films,",,"en,","US,",0,,,11,4,"Shaun Paul Piccinino ,"
Castle Freak,en,False,0,/1WDITmJAHz4rAnjVv1XYN4IfjKq.jpg,,593655,tt10701458,"After she’s permanently blinded in a tragic car accident, Rebecca receives some bizarre news: her long-lost mother has recently passed away, leaving her their family’s ancestral castle in rural Albania. Traveling to the estate with a group of friends, Rebecca hopes it will be an opportunity for her to reconnect with a past she never knew and a mother who seemingly left her behind. When mysterious events begin to occur and her friends begin to die, Rebecca must unravel the secrets of her family’s history before she too falls prey to the Castle Freak.",285.543,/HJEosQRIdBzAHEdZJCUF7e5FmF.jpg,2020-12-03,0,106.0,Released,Night has fallen,Castle Freak,False,4.2,6,"Horror,","Full Moon Entertainment,Zero Trans Fat Productions,Cinestate,Flexibon Films,Fangoria Films,The Fyzz,",,"en,","AL,US,",0,,"monster,isolation,prisoner,trauma,castle,revenge,murder,tragedy,sexual violence,mansion,madness,psychological horror,disturbed child,framed for murder,",7,15,"Tate Steinsiek,"
Wonder Woman 1984,en,False,200000000,/egg7KFi18TSQc1s24RMmR9i2zO6.jpg,https://www.warnerbros.com/movies/wonder-woman-1984,464052,tt7126948,Wonder Woman comes into conflict with the Soviet Union during the Cold War in the 1980s and finds a formidable foe by the name of the Cheetah.,261.517,/di1bCAfGoJ0BzNEavLsPyxQ2AaB.jpg,2020-12-16,0,151.0,Released,A new era of wonder begins.,Wonder Woman 1984,False,6.3,5,"Fantasy,Action,Adventure,","DC Entertainment,Warner Bros. Pictures,Mad Ghost Productions,The Stone Quarry,DC Films,Atlas Entertainment,DC Comics,",Wonder Woman Collection,"en,","US,",0,,"dc comics,based on comic,1980s,action hero,dc extended universe,action girl,",13,68,"Patty Jenkins,"
Captain Underpants: Mega Blissmas,en,False,0,/650xHCrA3hlEXggrfPiVKhkAqmb.jpg,https://www.netflix.com/title/81021977,768509,tt13411948,Christmas gets weird - really weird - after George and Harold go back in time to change up a few of their beloved holiday's traditions.,247.36,/v1Mbp4rHd6NW4iEWYf8FsR06DSJ.jpg,2020-12-04,0,45.0,Released,,Captain Underpants: Mega Blissmas,False,0.0,0,"Animation,Family,",,,"it,en,de,",,0,,"christmas,",3,0,"Patty Jenkins,"
Bobbleheads: The Movie,en,False,0,/3HPqLM6o9PZHrrasrC9VytFdIGT.jpg,https://www.uphe.com/movies/bobbleheads-the-movie,754433,tt13292206,"Get ready for a big shake-up when misfit bobbleheads take on trashy humans and a slobbery dog who crash their home with plans to swap a new baseball player bobblehead for a valuable one of them. With some guidance from Bobblehead Cher, they find the courage to bobble-up for an outrageous battle of wits and wobble.",170.867,/t7gNfiDRZLgNka0Q7hPmRgmxLoG.jpg,2020-12-08,0,82.0,Released,"Big heads, bigger attitudes!",Bobbleheads: The Movie,False,0.0,0,"Adventure,Animation,Comedy,Family,","Universal 1440 Entertainment,Threshold Entertainment,Threshold Animation Studios,",,"en,","US,",0,,,7,7,"Kirk Wise,"
