original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Professor Marston and the Wonder Women,en,False,0,/f9sTcBX9M0BvwBHVvlOIUfNx98r.jpg,https://cutt.ly/QeuvKdn,420622,tt6133130,358.988,/tbrzHlnE8dNpllLWEe9bwDGNzLe.jpg,2017-10-13,1584759,108.0,Released,Ever wonder?,Professor Marston and the Wonder Women,False,7.3,555,"Drama,Romance,","Topple Productions,Boxspring Entertainment,Opposite Field Pictures,",,"en,","US,",1,"comic book,biography,polyamory,bdsm,censorship,freedom of expression,",53,80,"Angela Robinson,"
Transformers: The Last Knight,en,False,217000000,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,http://www.transformersmovie.com/,335988,tt3371366,178.951,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,2017-06-16,605425157,149.0,Released,"For one world to live, the other must die.",Transformers: The Last Knight,False,6.0,4206,"Action,Adventure,Science Fiction,Fantasy,","Hasbro Studios,Paramount,Di Bonaventura Pictures,Ian Bryce Productions,Huahua Media,Tom DeSanto & Don Murphy Production,Hasbro,",Transformers Collection,"en,","CA,US,",3,"england,knight,based on toy,transformers,robot,",89,211,"Michael Bay,"
Coco,en,False,175000000,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,https://www.pixar.com/feature-films/coco,354912,tt2380307,124.728,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,2017-10-27,800526015,105.0,Released,The celebration of a lifetime,Coco,False,8.2,12925,"Animation,Family,Comedy,Adventure,Fantasy,Music,","Pixar,Walt Disney Pictures,",,"en,es,","US,",4,"mexico,guitar,musician,skeleton,music,afterlife,latinx lead,singer,life after death,child,day of the dead,",85,178,"Lee Unkrich,"
Spider-Man: Homecoming,en,False,175000000,/vc8bCGjdVp0UbMNLzHnHSLRbBWQ.jpg,http://www.spidermanhomecoming.com,315635,tt2250912,120.344,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,880166924,133.0,Released,Homework can wait. The city can't.,Spider-Man: Homecoming,False,7.4,15263,"Action,Adventure,Science Fiction,Drama,","Marvel Studios,Columbia Pictures,Pascal Pictures,LStar Capital,Sony Pictures,",Spider-Man (Avengers) Collection,"en,","US,",9,"new york city,washington d.c.,high school,superhero,based on comic,teenager,reboot,marvel cinematic universe,",79,234,"Jon Watts,"
Thor: Ragnarok,en,False,180000000,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,https://marvel.com/movies/movie/222/thor_ragnarok,284053,tt3501632,95.919,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,2017-10-25,853977126,131.0,Released,No Hammer. No Problem.,Thor: Ragnarok,False,7.6,15010,"Action,Adventure,Comedy,Fantasy,","Marvel Studios,Walt Disney Pictures,",Thor Collection,"en,","US,",35,"sequel,superhero,based on comic,alien planet,female villain,norse mythology,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,norse god,loki,",55,176,"Taika Waititi,"
Cars 3,en,False,175000000,/rND0GSv8X2Zzs7VhyFAs9BCEmYE.jpg,http://cars.disney.com,260514,tt3606752,78.468,/fyy1nDC8wm553FCiBDojkJmKLCs.jpg,2017-06-15,383925276,102.0,Released,It's not over until lightning strikes.,Cars 3,False,6.8,3688,"Adventure,Animation,Comedy,Family,","Pixar,",Cars Collection,"en,","US,",3,"trainer,sequel,travel,racing,computer-generated imagery,anthropomorphism,car,high tech,",43,204,"Brian Fee,"
Geostorm,en,False,120000000,/79X8JkGxzc1tJMi0KxUSaPLooVg.jpg,https://www.warnerbros.com/geostorm,274855,tt1981128,67.863,/nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,2017-10-13,221600160,109.0,Released,Some things were never meant to be controlled.,Geostorm,False,6.0,3307,"Action,Science Fiction,Thriller,","Twisted Media,Stereo D,Skydance Media,RatPac-Dune Entertainment,Electric Entertainment,Warner Bros. Pictures,",,"en,","US,",3,"artificial intelligence,future,weather manipulation,murder,space,end of the world,conspiracy,apocalypse,storm,space station,space shuttle,catastrophe,global threat,environmental disaster,overpopulated world,",35,186,"Dean Devlin,"
Boo 2! A Madea Halloween,en,False,25000000,/wqxKaffqTUKI9cl8YgBIm8IAZlR.jpg,http://www.boo.movie/,459202,tt6217804,111.29,/5nvP4etJ8ecQv8qZM08dK4BAzdK.jpg,2017-10-20,48333932,103.0,Released,Peek-A-Boo.,Boo 2! A Madea Halloween,False,5.6,408,"Horror,Comedy,","Tyler Perry Studios,",Boo! A Madea Halloween Collection,"en,","US,",0,"halloween,sequel,",18,18,"Tyler Perry,"
War for the Planet of the Apes,en,False,150000000,/w22CTHxmdAsUrXRbCQt4gOSOD6E.jpg,http://www.foxmovies.com/movies/war-for-the-planet-of-the-apes,281338,tt3450958,56.595,/ijQHiImv16vNSeZQsmih04kwn0C.jpg,2017-07-11,488533726,140.0,Released,For freedom. For family. For the planet.,War for the Planet of the Apes,False,7.1,6421,"Drama,Science Fiction,War,","20th Century Fox,TSG Entertainment,Chernin Entertainment,",Planet of the Apes (Reboot) Collection,"en,","CA,US,NZ,",3,"based on novel or book,sequel,anthropomorphism,ape,",20,146,"Matt Reeves,"
Renegades,en,False,66190000,/1mgNutzOvNtzO1rncsHc7Eju4Y7.jpg,,335788,tt4106376,74.182,/hx4nxhesaagsvJNhRw2fTobg8o.jpg,2017-08-21,2602149,105.0,Released,5 Navy SEALs. $300 million in gold. 1 incredible mission.,American Renegades,False,5.7,226,"Thriller,Action,","Studio Babelsberg,EuropaCorp,Belga Productions,CB Films,DCS,Canal+,",,"de,en,hr,","DE,BE,FR,US,",0,"treasure,navy,serbia,mystery,u.s. navy seal,",41,165,"Steven Quale,"
Blade Runner 2049,en,False,150000000,/sAtoMqDVhNDQBc3QJL3RF6hlhGq.jpg,http://bladerunnermovie.com/,335984,tt1856101,68.297,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-04,259239658,164.0,Released,The key to the future is finally unearthed.,Blade Runner 2049,False,7.5,8991,"Science Fiction,Drama,","Torridon Films,16:14 Entertainment,Scott Free Productions,Columbia Pictures,Alcon Entertainment,Thunderbird Entertainment,Warner Bros. Pictures,",Blade Runner Collection,"en,fi,","CA,HU,ES,GB,US,",7,"artificial intelligence,bounty hunter,future,dystopia,genetics,sequel,cyberpunk,los angeles, california,las vegas,tech noir,",38,829,"Denis Villeneuve,"
東京喰種 トーキョーグール,ja,False,0,/1bjoIR8Yb3qDrflszNWlz9uo2JF.jpg,http://tokyoghoul.jp/,433945,tt5815944,56.971,/tMs8ZJ2dNJ0fExF7ISXJvOov4Y6.jpg,2017-07-16,0,119.0,Released,Humans are no longer at the top of the food chain,Tokyo Ghoul,False,7.1,223,"Action,Drama,Horror,Thriller,","Geek Sight,",Tokyo Ghoul Movie Collection,"ja,","JP,",0,"based on manga,",18,5,"Kentaro Hagiwara,"
Woody Woodpecker,en,False,10000000,/lkCDvf3QjXpAycm896oH1LRTK5X.jpg,,462883,tt2114504,62.19,/vFGUsJTa8z0OfDTbjdyppAireeB.jpg,2017-10-05,0,91.0,Released,,Woody Woodpecker,False,6.8,500,"Animation,Comedy,Family,","Universal Animation Studios,Universal Pictures,Universal 1440 Entertainment,",,"en,","BR,CA,US,",1,"bird,woodpecker,pica-pau,",19,22,"Alex Zamm,"
Call Me by Your Name,en,False,4000000,/hrMbAi9fPTmc6EtpyyAgDKznptu.jpg,http://sonyclassics.com/callmebyyourname/,398818,tt5726616,51.959,/tcNniniS4rfqrLH0oORikJfnIwY.jpg,2017-09-01,41063475,132.0,Released,Is it better to speak or die?,Call Me by Your Name,False,8.3,8298,"Romance,Drama,","La Cinéfacture,RT Features,Frenesy Film Company,Water's End Productions,M.Y.R.A. Entertainment,Memento Films International,Ministero per i Beni e le Attività Culturali,",Call Me by Your Name Collection,"fr,en,it,","FR,IT,US,",2,"italy,upper class,based on novel or book,swimming pool,love,coming of age,summer,teenage boy,masturbation,first love,lgbt,jewish family,1980s,peach,gay,",12,133,"Luca Guadagnino,"
