original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Deadpool 2,en,False,110000000,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,https://www.foxmovies.com/movies/deadpool-2,383498,tt5463162,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,120.354,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,2018-05-10,741547413,119.0,Released,Prepare for the Second Coming.,Deadpool 2,False,7.5,12474,"Action,Comedy,Adventure,","Marvel Entertainment,20th Century Fox,Kinberg Genre,Maximum Effort,TSG Entertainment,",Deadpool Collection,"en,","US,",6,"The Mercenary with a mouth is back with the eagerly awaited arrival of “Deadpool 2”. The films sees the generally well-meaning but highly dysfunctional Deadpool (Ryan Reynolds), back to taking out bad guys as a contract player but also managing his relationship with Vanessa (Morena Baccarin).  When an unexpected event sends his life into a freefall, Deadpool tries to find a new purpose with the help of his X-Men associates from the last film who attempt to recruit him into their organization.
His first mission is to defuse an angry and destructive young mutant named Russell (Julian Dennison), which takes an unexpected turn and lands them both in serious trouble.

One would think that would be enough to cause some major life changes for Deadpool but thanks to the arrival of Cable (Josh Brolin), a cyborg soldier from the future; things are about to get much more complicated and intense.
Undaunted, Deadpool opts to form his own league of heroes and aside from Domino (Zazie Beetz); they seem to be as unlucky or dysfunctional as their leader which makes for some very hysterical consequences.

What follows is an action and laugh-laden adventure which brings even more of what made the first film such a success to the audience as the film takes the bawdy action of the first and ups the ante thanks in large part to an expanded budget and cast.
My biggest concern for the film was that with an expanded budget there would be too many characters and an attempt to do far too much with the film. That did play out at times in the beginning as for me, the first film worked so well as they had to let the characters rather than the action and effects carry it and the rapid-fire arrival of so many jokes and creative profanity made repeat viewing of the film necessary to catch everything.

This time out we get elaborate action and chase sequences as well as a much larger cast. At times it seemed as if this would possibly overshadow the characters and story but Reynolds and Director David Leith never let it cross that line.
They also go back to the core elements in the final third of the film which really allows the film to fully connect with the tone of the original film and brings the film home to a satisfying conclusion.  What really sold the film for me was the brilliant and very inspired extended scene during the credits which allows Deadpool to “fix” various issues which perfectly captures the irreverent character and the best aspects of the series where the cast is willing to make fun of themselves as well as the larger universe in which their characters exist.

I cannot wait to see what comes next as “DeadPool 2” is another fun outing for the character and something very different from most comic based movies.

4 stars out of 5,An utterly hilarious movie, with hundreds of pop culture references. A movie that doesn't take itself seriously, creating a silly, yet sensible dynamic. A must watch!,All in all, I prefer a Marvel movie that doesn't take itself seriously, but the nonstop unseriousness of Deadpool 2 can wear you down, too.,Terminator + Adam Sandler = Deadpool 2. Anyone else notice that? Even Deadpool calls Cable Jon Connor but the whole movie is structured like a Terminator movie. Cable is like a combination of Jon Connor and a Terminator. All the comedy is styled just like an Adam Sandler movie. And that is it. Works pretty good oddly. It is the Terminator movie that never was. Though the director of the first Deadpool wasn't directing this movie he is actually directing the next Terminator film.,Takes some pretty hardcore departures from the first movie in terms of characters, but _Deadpool 2_ is still funny as Hell (maybe not quite as funny as it thinks but still, very very humorous) and Ryan Reynolds once again absolutely nails the titular role. I never loved either of these movies as much as it seems people did by and large, but I do **like** them, and that's not nothin'.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,I have to say that I quite enjoyed this movie. Was there a lot of juvenile jokes? Oh yes. Was the characters sometimes over the top and silly? Yes again. Was the script and story anything to write home about? Of course not! Was there a lot of gratuitous violence? Hell yes! But then, this was pretty much what could be expected. Anyone offended or surprised by this should not really have picked this movie in the first place.

Despite the fairly juvenile jokes, the sometime illogical script and the way over the top chop-chop-and-chop-some-more violence I had great fun watching this movie. I really enjoyed the action sequences a’la Kill Bill, the special effects and yes, the jokes. Most of the time at least)

Everything was so silly and over the top that it actually became funny. Each scene, taken by itself, would probably have been considered silly, or even bad, by me but stringed together in the context of the movie as a whole it just worked. For me at least.

The action sequences, CGI and everything that should be in a superhero movie was, in my mind, quite good. Also, despite not really being anything to write home about the story was quite adequate. Simple, straightforward and a lot better than the crap that a lot of the stuff that social and political correctness preaching writers at Marvel are spewing out these days.

I definitely liked Cable as the hard hitting ass-kicking cyborg. When Domino was first introduced I was not impressed, even though she’s hot. I mean, luck as a superpower? However, when she started to pull all these hilarious stunts with these incredibly unbelievable chains of events I quickly changed my mind. Oh, and I did like Deadpool of course. That goes without saying. If you do not like the main protagonist it is difficult to like the movie itself is it not?

Most of the other characters were between okay and so so. The one character I never really liked was Firefist. He was never funny, just incredibly stupid and childish.

The team of fellow mutant “warriors” that Deadpool pulled together? Well let’s say that I am not that disappointed that they were somewhat “expendable” but it looks like that was the whole point of it. When the first of them whammed into that bus I thought “What the f…?” and then it just continued with one gory event following another. Nice touch with the blue blood by the way. I guess the guy was an alien after all.

To sum it up, a lot of the movie was pretty much what I expected but altogether I think I was positively surprised. Two hours of great fun actually.,","hero,mutant,mercenary,sequel,superhero,based on comic,breaking the fourth wall,duringcreditsstinger,x-men,deadpool,",66,183,"David Leitch,"
Solo: A Star Wars Story,en,False,250000000,/7LZ0K4FsALrt7OeNIGOVLNuKQRU.jpg,https://www.starwars.com/films/solo,348350,tt3778644,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",89.961,/4oD6VEccFkorEBTEDXtpLAaz0Rl.jpg,2018-05-15,392952373,135.0,Released,Never tell him the odds.,Solo: A Star Wars Story,False,6.6,5812,"Adventure,Science Fiction,","Lucasfilm Ltd.,Walt Disney Pictures,Allison Shearmur Productions,Imagine Entertainment,",,"en,","US,",8,"Back in 1977 I remember going into the original Cine Capri to see “Star Wars” with some friends. I was very young but little did I know that movie would change my life and put me on the path that I am now. Over the decades that have followed I have read the books and comics, played with the toys, played the video games, and eagerly watched any new film or television show related to the franchise.

The fact that Disney has put out a new film every years since “Star Wars: The Force Awakens” is great for fans like me as those three year waits; to say nothing of the 17+ years between the Original and Prequel Trilogies were tough.

Through it all my favorite character has always been Han Solo. I do not know what it is but the brash, cocky, money loving; scoundrel who gets in and out of trouble yet does the right thing in the end has always connected with me.
So when news came that there would be a new movie based on the early years of the title characters I was excited but concerned as Harrison Ford is so iconic in that role I could not see how anyone could measure up.

Combine that with original Directors Phil Lord and Christopher Miller being removed from the film after shooting a significant number of weeks, there was ample concern to go around.

Fortunately for fans, Director Ron Howard has crafted a very enjoyable film as “Han Solo: A Star Wars Story” deftly combines the action, visuals, and humor that made the films cinematic legends and in doing so introduces new characters and expands the lore of the Star Wars Universe.

The film follows a young Han (Alden Ehrenreich), who hustles to survive and get off the world of Corrilia.

Han like many kids on the street pull all sorts of scams under the control of various criminals and he plots to escape with his friend Qi’ra (Emilia Clarke).
When an opportunity arises, Han takes it, but finds himself in the Imperial Navy which does not bode well for a person with strong opinions and a mind of his own. 
Fate steps in once again and introduces Han to Chewbacca (Joonas Suotamo), and a mentor figure in the form of a man named Beckett (Woody Harrelson).   Han attempts to prove himself to his new crew as he sees this as his way out to a better life. However with things take a turn for the worse, he must work with his new associates to clear the slate with a deadly crime boss named Dry’den Vos (Paul Bettany).  
As anyone who follows the series knows Han has a way of escalating a situation and this leads the crew to recruiting Lando Calrissian (Donald Glover), into the crew as they set off to pull off a risky and dangerous mission to get the much needed resources to save their lives.

What follows is a very enjoyable film that has an appropriate amount of humor and character building as well as plenty of good action and effects which should keep fans of the series happy. The new characters were very enjoyable and added a new depth to Han as well as the Star Wars mythos but what really impressed me was that at no time did I find myself comparing Ehrenreich to Harrison Ford. He was charismatic and enjoyable in the role and I easily believed that this was Han before life, the universe, and circumstances turned him into the man we would know years later.
Glover is uncanny with his version of Lando and he at times almost sounded like Billy Dee Williams and had many of the mannerisms of the character down His back and forth with Han was great to see and we got a much deeper understand of both the characters and their complicated history with one another.

Clark and Harrelson round things out well as they provide a great balance to Han. One is a mentor and one is the link to the life he had and the dreams he wants to achieve.   Ron Howard moves things along well without rushing things as while it does take a bit of time getting up to speed, it happens at a natural pace without seeming rushed. Howard also does not rely on an abundance of effects to carry the film. There are plenty of practical FX and makeup creations to make you well aware that this is a vast and diverse galaxy but he uses them and the CGI to enhance the story rather than carry it.

There are numerous nods throughout to past films as well both visual and verbal and a few great surprises along the way. It is believed that more adventures of the younger Han will be coming in the future and I cannot wait for them to arrive as this was a very fun film. Now the only hard part will be the 19 month wait for Episode IX as the five month wait from the last film already seems like ages ago and I cannot wait for more.

4.5 stars out of 5,Not a bad movie, but you cannot replace H. Ford. The new Solo tries to be too much like the old Solo. Also, Lando is way too cool. Fav character was L3.,I have been a Star Wars fan since childhood. In fact, Star Wars: A New Hope was one of the first movies I ever saw in a theater. And I really enjoyed this movie. Don't believe the naysayers. There has been a lot of bad press surrounding the movie since the directors got fired and had to be replaced by Ron Howard. There was also some controversy of whether the lead actor was any good as Han Solo. The movie is not the mess we were led to believe. It works pretty well. Good action and special effects and lots of interesting alien creatures, as we would expect from a Star Wars movie. Alden Ehrenreich does a good job to make the role his own instead of doing an impression of Harrison Ford. Woody Harrelson, Phoebe Walter-Bridge, Donald Glover, and Paul Bettany also do good work in the film. Recommended for Star Wars fans.,Things happen because they're supposed to happen, and not because they would benefit the story. This is well-made but it feels perfunctory, fragmented, and, most importantly, entirely unnecessary. This movie is what happens when you work back from a foregone conclusion that's three decades old. Solo is tired, and it made me feel tired. It should never have been made. P.S. This is the first movie in which I didn't dislike Emilia Clarke! She's improving.,The public's backlash against _Solo_ has been **severely** diminished when compared to _The Last Jedi_, unfortunately however, so did the box office numbers. Best case scenario, this thing breaks even, and even that is looking unlikely. But I did actually quite enjoy _Solo_. It's not perfect, there are a decent number of problems I had with both the movie itself, and with its connection to the story overall, but I actually had a really good time watching _Solo_ (and seeing as I was probably the most sick I've ever been in my life when I watched it, that's saying something).

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time_.,I have to admit that I was a bit hesitant about watching this movie since it seems to have received quite a bit of flak. But then so did The Last Jedi and I liked that one a lot so a few days ago me and the kids sat down to watch Solo on my home cinema rig.

What I found was a quite enjoyable action adventure movie. Yes, the story is simple and quite predictable but that is fine by me. What I wanted was a simple and straightforward action roller coaster and that was pretty much what I got. I did not want some deep crap with a lot of social pointers all over the place. It is Star Wars, it is meant to just entertain. Action and special effects “über alles” plain and simple.

Portraying Han Solo when he was young is of course a quite tall order for any actor. Everyone is going to compare him with Harrison Ford and that is pretty much a recipe for failure. Personally I am happy that they picked an actor that was not especially well known from other movies, at least not to me. If they had not done that I would have compared him not only to Harrison Ford but also to whatever character he had played before. I think Alden Ehrenreich did a fairly good job of portraying a young Han Solo.

Actually, I think most of the actors was fairly okay. It’s not a Shakespeare play after all. It did sadden me that Woody turned out to be such an asshole in the end though. For most of the movie I quite liked the guy.

The story was, as I already wrote, simple and straightforward. Predictable as hell of course but then, in these kind of movies the story is more or less only a means to tie together the action. It worked for me. I am so glad that they actually did tie up a certain loose end at the end of the movie though. If Solo hadn’t been in that last game of cards with Lando and the outcome not been what it was I would have been seriously miffed about the entire movie. Probably one of the scenes I liked the most actually.

As I am writing this the movie has a rating of 7 out of 10 on IMDb and I think that is pretty much spot on. I have to say that I am quite sad about Disney’s knee-jerk reaction to pull the brakes on the Star Wars movies. This is so typical of the Hollywood bean counters nowadays. If a movie is not making an insane amount of money the first couple of weeks it is considered a failure and the standard response is to pull the franchise. That is essentially saying that there is something wrong with the audience. We made a good movie but you did not like it so we kill the franchise way of thinking. Well, news flash dumb asses, if the movie didn’t sell as well as you estimated either there is something wrong with your over-inflated estimates or with the movie you did. It’s your fault, not the audience. Make a better one or fix your estimates! Okay, as a Star Wars fan I am perhaps biased but I am so tired of dumbass bean counters, not just where movie making is concerned.,Let me give you some advice. Assume everyone will betray you. And you will never be disappointed.

So the latest in what is becoming a long running sci-fi franchise sees Han Solo (Alden Ehrenreich) get his prequel movie. Unsurprisingly, such is the ferocious core fan base of the Star Wars series, it has been met with a mixture of outright hatred to pats on the back appreciation. It really is a case here of jumping in to view it on its own terms to at least give it a chance. The truth is, is that if this was a stand alone movie being judged purely as a science fiction action movie, then it would be better appreciated. For this is cracker jack entertainment in that sphere, with superbly constructed worlds inhabited by delirious looking aliens species, feisty droids hold court, and the humans are daring, cheeky and even sexy. It is in short quality and fantastical sci-fi, even if in truth as per the Solo character trajectory it's safe film making.

We, as in the royal Star Wars fans we, all have our card carrying belief that our opinion on any Star Wars film is correct, but really the only advice I can honestly give here is that if you haven't seen it yet then at least give it a chance. Those that have seen it have their minds made up either way, so personally I can only say how much fun I had watching it - twice! All the dots are joined towards the Solo character I love so dear, from back when with childhood eyes in the late 70s I was transfixed on that big screen. How great to see how Han met Chewbacca (Joonas Suotamo) and how their brilliant friendship begins. To witness the birth of the Han/Lando Calrissian (Donald Glover excellent) friendly rivalry - and all that that entails as regards our favourite spaceship - The Millennium Falcon. Yes, I like it well enough for sure, maybe you will as well? 7.5/10,My, how the mighty have fallen! It used to be that Star Wars could do no wrong. People were even forgiving of the prequel trilogy (eventually) and its many, many flaws to accept them in the multi-billion dollar franchise. There was some trepidation over the whole “Star Wars Story” side story films, but that seemed to be allayed by the excellent “Rogue One.” Then comes “Solo,” and I’m sorry to say that our fears have now been realized.

Starting with Han growing up as a youth on Corellia, we see how each aspect of his character comes into being. Each. Aspect. Even how he gets the name Solo. I mean, seriously! They create a checklist, from his relationships to Chewie and Lando, right down to his blaster, and shows how each one comes to pass or be in his possession.

It’s actually kind of...well, sad. It turns out that every iconic aspect of this character we’ve loved all sprang out of one single caper in his career. Talk about peaking early! They even recreate some famous scenes, but they’re still the same scenes just with a new coat of paint. And paint is a very apt metaphor. “Solo” is very much a paint by numbers Star Wars film. No surprises. Purely for fans, and even then there’s some issues. Even the cameo at the end felt ridiculously overdone. Star Wars fatigue definitely seems to be setting in. Still, as a Star Wars fan, I’m probably being more forgiving even though I rate this movie as just “Okay.”,","spacecraft,prequel,spin off,smuggler,space opera,",110,247,"Ron Howard,"
The Kissing Booth,en,False,0,/wZLtIdehOlmhvkoNRXMkR1fmEXV.jpg,https://www.netflix.com/title/80143556,454983,tt3799232,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",61.001,/7Dktk2ST6aL8h9Oe5rpk903VLhx.jpg,2018-05-11,0,105.0,Released,"She can tell her best friend anything, except this one thing",The Kissing Booth,False,7.3,5624,"Romance,Comedy,","Komixx Entertainment,",The Kissing Booth Collection,"en,","GB,",0,,"based on novel or book,secret,crush,los angeles, california,high school student,based on young adult novel,",32,18,"Vince Marcello,"
Suicide Squad: Hell to Pay,en,False,0,/dCQufBk08xVYRethCBqXU7I4vYn.jpg,,487242,tt7167602,Task Force X targets a powerful mystical object that they will risk their lives to steal.,48.978,/7o0OQUf15v2m45gXluRUMTRC14h.jpg,2018-05-09,0,86.0,Released,"When the world needs the best, they call on the worst",Suicide Squad: Hell to Pay,False,7.1,321,"Action,Animation,Science Fiction,","DC Entertainment,Warner Bros. Animation,DC Comics,",,"en,es,","US,",1,"The best Suicide Squad movie there is right now. Also a nice return to form for the DC Universe's animated offerings.

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._,","dc comics,based on comic,dc animated movie universe,",19,15,"Sam Liu,"
Overboard,en,False,12000000,/fcStpdmeXB6ZGY2PBovpyyMRclB.jpg,,454619,tt1563742,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.",40.879,/qauHzSQJdo9VYX4NKn9PdWnvXOV.jpg,2018-05-03,91244913,112.0,Released,A riches to rags story. If only he could remember it.,Overboard,False,6.6,938,"Romance,Comedy,","Pantelion Films,3Pas Studios,Metro-Goldwyn-Mayer,",,"en,fr,no,es,","US,",0,,"amnesia,remake,revenge,wealthy,rich,",53,34,"Rob Greenberg,"
Tremors: A Cold Day in Hell,en,False,0,/voDQCOKcbkV1Xn5rqdfoNbu77dU.jpg,,496704,tt6086082,"Burt Gummer (Michael Gross) and his son Travis Welker (Jamie Kennedy) find themselves up to their ears in Graboids and Ass-Blasters when they head to Canada to investigate a series of deadly giant-worm attacks. Arriving at a remote research facility in the artic tundra, Burt begins to suspect that Graboids are secretly being weaponized, but before he can prove his theory, he is sidelined by Graboid venom. With just 48 hours to live, the only hope is to create an antidote from fresh venom — but to do that, someone will have to figure out how to milk a Graboid!",36.363,/aFOdiHaRjeTmHG67e5B7md2Q1cq.jpg,2018-05-01,0,98.0,Released,,Tremors: A Cold Day in Hell,False,5.9,218,"Action,Adventure,Science Fiction,Fantasy,Comedy,Horror,","Universal 1440 Entertainment,",Tremors Collection,"en,","US,",1,"I will always give a _Tremors_ movie a chance, but these last two movies have been very disappointing, and _Cold Day in Hell_ made me feel especially let down. Could not deliver on even its own incredibly weak promise of ""Graboids but there's snow now"".

_Final rating:★½: - Boring/disappointing. Avoid where possible._,","monster,sequel,graboids,burt,power wagon,",18,58,"Don Michael Paul,"
A Prayer Before Dawn,en,False,0,/tyaVwOLIpAzZFP0qmXm2VZhYkxZ.jpg,http://prayerbeforedawn.movie,448776,tt4080956,"The true story of Billy Moore, an English boxer incarcerated in Thailand's most notorious prison. Thrown into a world of drugs and violence, he finds his best chance to escape is to fight his way out in Muay Thai tournaments.",38.791,/qgdOZEnEqnbroqHoslGJSFSKl9R.jpg,2018-05-24,958883,116.0,Released,The fight starts from inside,A Prayer Before Dawn,False,6.8,335,"Drama,Action,Crime,","Meridian Entertainment,Hurricane Films,Senorita Films,Indochina Productions,Symbolic Exchange,A24,",,"en,pt,th,","KH,CN,FR,GB,US,",0,,"prison,based on novel or book,prisoner,thailand,biography,based on a true story,muay thai,kick boxing,based on memoir or autobiography,drugs,outsider,boxing,thai boxing,ladyboy,chiang mai,",11,25,"Jean-Stéphane Sauvaire,"
Anon,en,False,20000000,/uugcOIfnh8Gz0nxUbduWCoxjWct.jpg,https://www.netflix.com/title/80195964,396806,tt5397194,"Set in a near-future world where there is no privacy, ignorance or anonymity, our private memories are recorded and crime almost ceases to exist. In trying to solve a series of unsolved murders, Sal Frieland stumbles onto a young woman who appears to have subverted the system and disappeared. She has no identity, no history and no record. Sal realizes it may not be the end of crime but the beginning. Known only as 'The Girl', Sal must find her before he becomes the next victim.",31.824,/xhBTO9n3fxy3HJt7WlR9h9vvVmk.jpg,2018-05-03,0,100.0,Released,Anonymity is the enemy,Anon,False,5.9,1017,"Science Fiction,","K5 Film,K5 International,Scythia Films,Sierra/Affinity,Road Pictures,",,"en,","US,GB,",4,"Well, i like sci-fi.  This was boring. A big snoozer.  a 4 out of 10.,Anon is a noirish sci-fi thriller set in the near future where the human mind records everything through its eyes. It is a society with no privacy but what if the memories can be manipulated?

Sal Frieland (Clive Owen) is a detective who solves crimes by reviewing people's memories that exist in some kind of matrix where the memories are placed and can be accessed.

When an anonymous hacker is suspected of killing some people, Sal figures it is a mysterious woman (Amanda Seyfried) who does not exist in their records as she is off the grid and who can alter the memory files.

Director Andrew Niccol pursues his interest in a futuristic society as he did in Gattaca. The film slows down when Sal and the mysterious woman hook up. Yet Sal finds himself in danger and also finds his own memories are hacked. However there is an air of predictability in the mystery aspects of the film.,Classy, interesting movie that is ridiculously underrated.,The set-up is intriguing and the conflict is incredibly well done, but the pay-off is **such** a let-down. Has some original ideas that are mostly explored early on in the second half of _Anon_ despite its similarity to a couple of _Black Mirror_ episodes (chiefly _The Entire History of You_). Not something I'll re-visit, but better than I had expected.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","detective,dystopia,serial killer,privacy,procedural,augmented reality,",42,35,"Andrew Niccol,"
All the Devil's Men,en,False,0,/vT2rEtt3kK2Vo6v5yXYd2y3dk14.jpg,,481203,tt6012244,"A battle-scarred War on Terror bounty hunter is forced to go to London on a manhunt for a disavowed CIA operative, which leads him into a deadly running battle with a former military comrade and his private army.",30.865,/pnlwh6CBBq5jB7G7OVxDsfz1b9v.jpg,2018-05-12,0,99.0,Released,The world is a battlefield,All the Devil's Men,False,6.1,85,"Action,","Metrol Technology,Big Book Media,BondIt,GFM films,H Films,Head Gear Films,West London Film Studios,",,"en,","GB,",0,,"london, england,cia,bounty hunter,terrorist,gangster,private army,u.s. navy seal,operative,wmd,disavowed,",10,2,"Matthew Hope,"
Lake Placid: Legacy,en,False,0,/pZmw4rsjaeKqYbcAJTvBaNlOVUf.jpg,,520466,tt7875948,"A group of young explorers discover a secret area hidden from all maps and GPS devices. When they reach the center of the lake, they discover an abandoned facility that houses one of the largest, and deadliest apex-predators known to man.",28.931,/eBZXrR5zlGdRAXuugtUQo9D4dCp.jpg,2018-05-28,0,90.0,Released,,Lake Placid: Legacy,False,4.9,83,"Horror,Action,Science Fiction,TV Movie,","Out of Africa Entertainment,Blue Ice Pictures,",Lake Placid Collection,"en,","US,",1,"Now it isn't **good**, but at least it's a little **different** from the past few _Lake Placid_ movie. And I'm not even remotely implying that it was actually scary, but this one even kind of felt like it was actually meant to be a horror movie. Still trash though.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","lake,animal attack,giant crocodile,crocodile attack,krokodyle,",10,53,"Darrell James Roodt,"
